      DE/eV    lambda/nm    sigma/A^2        +/-error/A^2
      2.5520   4.8583E+02       0.03901046       0.00287884
      2.5570   4.8488E+02       0.03972415       0.00299668
      2.5620   4.8394E+02       0.04046972       0.00312573
      2.5670   4.8299E+02       0.04124998       0.00326735
      2.5720   4.8205E+02       0.04206812       0.00342342
      2.5770   4.8112E+02       0.04292781       0.00359620
      2.5820   4.8019E+02       0.04383332       0.00378839
      2.5870   4.7926E+02       0.04478960       0.00400327
      2.5920   4.7833E+02       0.04580247       0.00424483
      2.5970   4.7741E+02       0.04687881       0.00451794
      2.6020   4.7650E+02       0.04802685       0.00482863
      2.6070   4.7558E+02       0.04925647       0.00518437
      2.6120   4.7467E+02       0.05057967       0.00559450
      2.6170   4.7376E+02       0.05201117       0.00607083
      2.6220   4.7286E+02       0.05356920       0.00662835
      2.6270   4.7196E+02       0.05527657       0.00728629
      2.6320   4.7106E+02       0.05716212       0.00806952
      2.6370   4.7017E+02       0.05926273       0.00901047
      2.6420   4.6928E+02       0.06162596       0.01015175
      2.6470   4.6840E+02       0.06431372       0.01154968
      2.6520   4.6751E+02       0.06740700       0.01327901
      2.6570   4.6663E+02       0.07101183       0.01543869
      2.6620   4.6576E+02       0.07526567       0.01815820
      2.6670   4.6488E+02       0.08034168       0.02160163
      2.6720   4.6401E+02       0.08644334       0.02596220
      2.6770   4.6315E+02       0.09377109       0.03142863
      2.6820   4.6228E+02       0.10242363       0.03808631
      2.6870   4.6142E+02       0.11218171       0.04570073
      2.6920   4.6057E+02       0.12217567       0.05338481
      2.6970   4.5971E+02       0.13069362       0.05940747
      2.7020   4.5886E+02       0.13572964       0.06174379
      2.7070   4.5801E+02       0.13638508       0.05948062
      2.7120   4.5717E+02       0.13371440       0.05366803
      2.7170   4.5633E+02       0.12986042       0.04646042
      2.7220   4.5549E+02       0.12666193       0.03973033
      2.7270   4.5465E+02       0.12513078       0.03454738
      2.7320   4.5382E+02       0.12566655       0.03137393
      2.7370   4.5299E+02       0.12840541       0.03035967
      2.7420   4.5217E+02       0.13344826       0.03150503
      2.7470   4.5134E+02       0.14096201       0.03475314
      2.7520   4.5052E+02       0.15118675       0.04006219
      2.7570   4.4971E+02       0.16433992       0.04739971
      2.7620   4.4889E+02       0.18035420       0.05657759
      2.7670   4.4808E+02       0.19838354       0.06689928
      2.7720   4.4727E+02       0.21622928       0.07676033
      2.7770   4.4647E+02       0.23039218       0.08370226
